iter	Passed	Remaining
244	2722	8390
245	2731	8372
246	2741	8356
247	2749	8337
248	2759	8322
249	2767	8302
250	2777	8287
251	2787	8272
252	2795	8255
253	2803	8235
254	2812	8217
255	2821	8198
256	2831	8184
257	2840	8168
258	2848	8148
259	2857	8133
260	2865	8114
261	2875	8099
262	2883	8080
263	2892	8062
264	2900	8044
265	2909	8028
266	2918	8012
267	2928	7997
268	2937	7983
269	2945	7964
270	2955	7950
271	2963	7932
272	2973	7917
273	2981	7899
274	2989	7882
275	2997	7864
276	3006	7846
277	3014	7828
278	3022	7811
279	3030	7793
280	3040	7780
281	3048	7762
282	3057	7746
283	3065	7728
284	3074	7712
285	3082	7695
286	3091	7679
287	3099	7663
288	3107	7644
289	3116	7629
290	3124	7612
291	3134	7599
292	3143	7584
293	3152	7569
294	3160	7552
295	3169	7538
296	3179	7525
297	3188	7510
298	3197	7495
299	3206	7482
300	3216	7469
301	3224	7453
302	3233	7438
303	3242	7422
304	3252	7411
305	3260	7395
306	3269	7380
307	3278	7365
308	3286	7349
309	3295	7336
310	3303	7319
311	3313	7306
312	3321	7290
313	3330	7277
314	3339	7261
315	3349	7250
316	3357	7234
317	3366	7219
318	3374	7204
319	3382	7187
320	3390	7171
321	3398	7155
322	3406	7139
323	3415	7125
324	3423	7110
325	3431	7094
326	3439	7078
327	3448	7064
328	3456	7049
329	3466	7037
330	3474	7023
331	3482	7007
332	3491	6994
333	3499	6978
334	3509	6966
335	3517	6951
336	3526	6938
337	3534	6923
338	3544	6910
339	3551	6894
340	3561	6883
341	3571	6870
342	3579	6857
343	3588	6843
344	3596	6828
345	3605	6815
346	3613	6800
347	3622	6786
348	3630	6771
349	3638	6757
350	3646	6742
351	3656	6730
352	3664	6715
353	3673	6703
354	3682	6690
355	3691	6677
356	3699	6662
357	3709	6652
358	3717	6638
359	3726	6624
360	3735	6611
361	3744	6599
362	3753	6587
363	3761	6572
364	3770	6560
365	3779	6547
366	3789	6535
367	3797	6521
368	3806	6508
369	3814	6494
370	3822	6481
371	3831	6467
372	3839	6454
373	3847	6440
374	3856	6427
375	3864	6413
376	3874	6402
377	3883	6390
378	3891	6376
379	3901	6365
380	3910	6352
381	3918	6339
382	3927	6326
383	3936	6314
384	3944	6300
385	3953	6288
386	3961	6274
387	3971	6263
388	3979	6251
389	3989	6239
390	3998	6228
391	4006	6214
392	4015	6202
393	4023	6189
394	4033	6177
395	4040	6163
396	4050	6151
397	4058	6138
398	4066	6124
399	4074	6112
400	4084	6101
401	4092	6088
402	4101	6075
403	4110	6063
404	4118	6050
405	4127	6039
406	4136	6026
407	4145	6015
408	4153	6001
409	4162	5989
410	4170	5976
411	4180	5965
412	4188	5952
413	4198	5943
414	4208	5931
415	4216	5919
416	4226	5909
417	4235	5896
418	4244	5886
419	4252	5872
420	4262	5862
421	4270	5849
422	4279	5836
423	4287	5823
424	4297	5813
425	4305	5801
426	4314	5789
427	4323	5777
428	4331	5764
429	4341	5754
430	4349	5741
431	4357	5729
432	4367	5718
433	4375	5706
434	4383	5693
435	4393	5683
436	4401	5670
437	4411	5660
438	4421	5650
439	4429	5637
440	4439	5627
441	4447	5614
442	4456	5602
443	4463	5589
444	4472	5578
445	4480	5565
446	4489	5554
447	4498	5542
448	4508	5532
449	4517	5521
450	4525	5509
451	4535	5498
452	4543	5486
453	4552	5474
454	4560	5462
455	4569	5451
456	4577	5438
457	4587	5428
458	4595	5416
459	4604	5405
460	4612	5392
461	4622	5383
462	4630	5370
463	4639	5359
464	4648	5347
465	4655	5335
466	4663	5323
467	4671	5310
468	4680	5299
469	4688	5287
470	4698	5276
471	4706	5264
472	4715	5253
473	4724	5243
474	4734	5233
475	4742	5221
476	4751	5209
477	4761	5199
478	4769	5188
479	4778	5176
480	4786	5164
481	4795	5153
482	4803	5142
483	4813	5131
484	4821	5119
485	4830	5109
486	4839	5097
487	4848	5086
488	4855	5074
489	4864	5062
490	4871	5050
491	4880	5039
492	4888	5027
493	4897	5016
494	4906	5005
495	4915	4994
496	4923	4982
497	4932	4972
498	4941	4961
499	4949	4949
500	4957	4937
501	4965	4925
502	4973	4914
503	4981	4902
504	4990	4891
505	4998	4880
506	5007	4869
507	5015	4857
508	5025	4847
509	5032	4835
510	5042	4825
511	5051	4814
512	5060	4803
513	5068	4792
514	5077	4781
515	5085	4770
516	5095	4760
517	5105	4750
518	5113	4739
519	5123	4729
520	5131	4717
521	5141	4707
522	5151	4698
523	5160	4687
524	5169	4677
525	5178	4666
526	5187	4656
527	5195	4644
528	5205	4634
529	5213	4623
530	5223	4613
531	5231	4602
532	5239	4591
533	5247	4579
534	5257	4569
535	5265	4558
536	5274	4547
537	5283	4536
538	5291	4526
539	5301	4515
540	5309	4504
541	5318	4494
542	5326	4482
543	5335	4472
544	5343	4461
545	5352	4450
546	5361	4439
547	5370	4429
548	5378	4418
549	5386	4407
550	5394	4396
551	5403	4385
552	5410	4373
553	5419	4363
554	5427	4351
555	5435	4340
556	5442	4328
557	5450	4317
558	5458	4306
559	5468	4296
560	5476	4285
561	5485	4274
562	5492	4263
563	5501	4252
564	5509	4241
565	5517	4230
566	5525	4219
567	5533	4208
568	5541	4197
569	5550	4187
570	5559	4176
571	5568	4166
572	5577	4156
573	5585	4145
574	5594	4135
575	5602	4124
576	5612	4114
577	5620	4103
578	5628	4092
579	5636	4081
580	5644	4070
581	5652	4059
582	5661	4049
583	5668	4038
584	5678	4028
585	5687	4018
586	5696	4008
587	5704	3997
588	5713	3987
589	5722	3976
590	5730	3965
591	5739	3955
592	5747	3944
593	5756	3934
594	5764	3923
595	5774	3913
596	5781	3903
597	5791	3893
598	5800	3883
599	5809	3872
600	5817	3862
601	5825	3851
602	5833	3840
603	5841	3829
604	5849	3819
605	5858	3808
606	5866	3798
607	5874	3787
608	5882	3776
609	5892	3767
610	5901	3756
611	5909	3746
612	5917	3735
613	5925	3725
614	5933	3714
615	5942	3704
616	5951	3694
617	5959	3683
618	5968	3673
619	5977	3663
620	5986	3653
621	5994	3643
622	6004	3633
623	6012	3623
624	6021	3612
625	6029	3602
626	6037	3591
627	6045	3581
628	6054	3571
629	6062	3560
630	6070	3549
631	6078	3539
632	6086	3529
633	6094	3518
634	6104	3508
635	6113	3498
636	6121	3488
637	6130	3478
638	6140	3468
639	6150	3459
640	6158	3448
641	6167	3439
642	6175	3428
643	6185	3419
644	6194	3409
645	6202	3399
646	6211	3389
647	6221	3379
648	6230	3369
649	6239	3359
650	6248	3349
651	6256	3339
652	6265	3329
653	6273	3318
654	6281	3308
655	6289	3298
656	6298	3288
657	6306	3277
658	6316	3268
659	6324	3258
660	6334	3248
661	6343	3239
662	6351	3228
663	6360	3218
664	6368	3208
665	6377	3198
666	6386	3188
667	6395	3178
668	6403	3168
669	6411	3158
670	6419	3147
671	6429	3138
672	6437	3127
673	6446	3117
674	6453	3107
675	6462	3097
676	6471	3087
677	6479	3077
678	6487	3067
679	6496	3057
680	6504	3046
681	6512	3036
682	6520	3026
683	6529	3016
684	6537	3006
685	6545	2996
686	6554	2986
687	6562	2976
688	6571	2966
689	6579	2956
690	6589	2946
691	6598	2936
692	6607	2927
693	6615	2916
694	6623	2906
695	6631	2896
696	6640	2886
697	6648	2876
698	6657	2866
699	6665	2856
700	6674	2846
701	6683	2836
702	6691	2826
703	6700	2817
704	6708	2807
705	6716	2797
706	6725	2787
707	6735	2777
708	6744	2768
709	6752	2758
710	6760	2747
711	6769	2738
712	6777	2728
713	6787	2718
714	6794	2708
715	6803	2698
716	6810	2688
717	6819	2678
718	6826	2668
719	6836	2658
720	6843	2648
721	6853	2638
722	6861	2628
723	6870	2619
724	6879	2609
725	6887	2599
726	6895	2589
727	6903	2579
728	6911	2569
729	6919	2559
730	6928	2549
731	6936	2539
732	6945	2529
733	6954	2520
734	6963	2510
735	6971	2500
736	6980	2491
737	6988	2481
738	6997	2471
739	7005	2461
740	7013	2451
741	7021	2441
742	7031	2432
743	7039	2422
744	7048	2412
745	7056	2402
746	7066	2393
747	7077	2384
748	7085	2374
749	7094	2364
750	7102	2354
751	7111	2345
752	7119	2335
753	7130	2326
754	7139	2316
755	7147	2306
756	7156	2297
757	7165	2287
758	7175	2278
759	7183	2268
760	7192	2258
761	7200	2248
762	7208	2239
763	7216	2229
764	7225	2219
765	7233	2209
766	7242	2200
767	7249	2190
768	7258	2180
769	7267	2170
770	7277	2161
771	7285	2151
772	7293	2141
773	7301	2131
774	7309	2122
775	7317	2112
776	7326	2102
777	7333	2092
778	7341	2082
779	7349	2073
780	7358	2063
781	7367	2053
782	7376	2044
783	7384	2034
784	7392	2024
785	7401	2015
786	7408	2005
787	7417	1995
788	7425	1985
789	7434	1976
790	7441	1966
791	7450	1956
792	7458	1946
793	7467	1937
794	7475	1927
795	7484	1918
796	7493	1908
797	7502	1899
798	7510	1889
799	7521	1880
800	7529	1870
801	7537	1860
802	7545	1851
803	7554	1841
804	7561	1831
805	7570	1822
806	7578	1812
807	7588	1803
808	7597	1793
809	7604	1783
810	7614	1774
811	7621	1764
812	7631	1755
813	7639	1745
814	7648	1736
815	7656	1726
816	7665	1717
817	7674	1707
818	7683	1697
819	7691	1688
820	7702	1679
821	7711	1669
822	7718	1660
823	7727	1650
824	7735	1640
825	7744	1631
826	7753	1622
827	7763	1612
828	7771	1602
829	7780	1593
830	7788	1583
831	7797	1574
832	7805	1564
833	7814	1555
834	7822	1545
835	7830	1536
836	7838	1526
837	7847	1517
838	7856	1507
839	7864	1497
840	7873	1488
841	7880	1478
842	7888	1469
843	7897	1459
844	7907	1450
845	7916	1441
846	7925	1431
847	7933	1422
848	7942	1412
849	7950	1403
850	7960	1393
851	7968	1384
852	7976	1374
853	7984	1365
854	7993	1355
855	8001	1345
856	8010	1336
857	8019	1327
858	8027	1317
859	8036	1308
860	8044	1298
861	8055	1289
862	8063	1280
863	8073	1270
864	8082	1261
865	8091	1252
866	8099	1242
867	8109	1233
868	8119	1223
869	8127	1214
870	8136	1205
871	8145	1195
872	8155	1186
873	8164	1177
874	8172	1167
875	8181	1158
876	8189	1148
877	8198	1139
878	8206	1129
879	8215	1120
880	8224	1110
881	8234	1101
882	8242	1092
883	8252	1082
884	8260	1073
885	8269	1064
886	8277	1054
887	8286	1045
888	8294	1035
889	8303	1026
890	8313	1017
891	8323	1007
892	8332	998
893	8340	988
894	8349	979
895	8357	970
896	8366	960
897	8374	951
898	8383	941
899	8391	932
900	8400	922
901	8408	913
902	8417	904
903	8424	894
904	8434	885
905	8443	876
906	8452	866
907	8461	857
908	8469	847
909	8478	838
910	8486	829
911	8495	819
912	8503	810
913	8512	800
914	8520	791
915	8530	782
916	8538	772
917	8547	763
918	8557	754
919	8564	744
920	8573	735
921	8581	725
922	8589	716
923	8598	707
924	8607	697
925	8615	688
926	8624	679
927	8632	669
928	8641	660
929	8650	651
930	8659	641
931	8667	632
932	8676	623
933	8684	613
934	8693	604
935	8701	595
936	8712	585
937	8721	576
938	8729	567
939	8739	557
940	8748	548
941	8756	539
942	8764	529
943	8772	520
944	8780	511
945	8789	501
946	8797	492
947	8805	483
948	8814	473
949	8822	464
950	8830	454
951	8840	445
952	8847	436
953	8856	427
954	8863	417
955	8872	408
956	8879	398
957	8888	389
958	8895	380
959	8904	371
960	8911	361
961	8920	352
962	8927	343
963	8936	333
964	8944	324
965	8953	315
966	8961	305
967	8970	296
968	8978	287
969	8987	277
970	8994	268
971	9002	259
972	9011	250
973	9020	240
974	9028	231
975	9036	222
976	9045	212
977	9054	203
978	9064	194
979	9072	185
980	9081	175
981	9089	166
982	9099	157
983	9108	148
984	9117	138
985	9126	129
986	9135	120
987	9144	111
988	9152	101
989	9161	92
990	9171	83
991	9182	74
992	9190	64
993	9198	55
994	9207	46
995	9215	37
996	9224	27
997	9232	18
998	9241	9
999	9249	0
